empresa,uds_id,hsstart,hsstop,datai,dataf,sentido,linha,carro,qtpsg,valor_jornada,nao_sei
1,6220486,06:07:57,06:57:51,01/01/2024,01/01/2024,0,4601,20103,3,12,75.0
1,6220486,06:07:57,06:57:51,01/01/2024,01/01/2024,0,4601,20103,2,0,
1,6220486,06:07:57,06:57:51,01/01/2024,01/01/2024,0,4601,20103,5,20,
1,6220486,06:07:57,06:57:51,01/01/2024,01/01/2024,0,4601,20103,1,4,
1,6220486,06:57:53,07:50:52,01/01/2024,01/01/2024,1,4601,20103,2,8,5.0
1,6220486,06:57:53,07:50:52,01/01/2024,01/01/2024,1,4601,20103,1,4,
1,6220486,06:57:53,07:50:52,01/01/2024,01/01/2024,1,4601,20103,7,0,
1,6220486,06:57:53,07:50:52,01/01/2024,01/01/2024,1,4601,20103,2,0,
1,6220486,06:57:53,07:50:52,01/01/2024,01/01/2024,1,4601,20103,2,0,
1,6220486,06:57:53,07:50:52,01/01/2024,01/01/2024,1,4601,20103,5,20,
1,6220486,07:50:55,08:50:28,01/01/2024,01/01/2024,0,4601,20103,6,24,
1,6220486,07:50:55,08:50:28,01/01/2024,01/01/2024,0,4601,20103,3,12,
1,6220486,07:50:55,08:50:28,01/01/2024,01/01/2024,0,4601,20103,8,34,
1,6220486,07:50:55,08:50:28,01/01/2024,01/01/2024,0,4601,20103,2,0,
1,6220486,07:50:55,08:50:28,01/01/2024,01/01/2024,0,4601,20103,2,0,
1,6220486,07:50:55,08:50:28,01/01/2024,01/01/2024,0,4601,20103,8,0,
1,6220486,08:50:31,09:38:16,01/01/2024,01/01/2024,1,4601,20103,2,8,
1,6220486,08:50:31,09:38:16,01/01/2024,01/01/2024,1,4601,20103,4,0,
1,6220486,08:50:31,09:38:16,01/01/2024,01/01/2024,1,4601,20103,5,21,25.0
1,6220486,08:50:31,09:38:16,01/01/2024,01/01/2024,1,4601,20103,2,8,
1,6220486,09:38:19,10:30:50,01/01/2024,01/01/2024,0,4601,20103,3,12,
1,6220486,09:38:19,10:30:50,01/01/2024,01/01/2024,0,4601,20103,4,17,
1,6220486,09:38:19,10:30:50,01/01/2024,01/01/2024,0,4601,20103,2,8,
1,6220486,09:38:19,10:30:50,01/01/2024,01/01/2024,0,4601,20103,2,0,
1,6220486,09:38:19,10:30:50,01/01/2024,01/01/2024,0,4601,20103,1,0,
1,6220486,10:34:32,11:35:29,01/01/2024,01/01/2024,1,4601,20103,5,21,25.0
1,6220486,10:34:32,11:35:29,01/01/2024,01/01/2024,1,4601,20103,4,16,
1,6220486,10:34:32,11:35:29,01/01/2024,01/01/2024,1,4601,20103,5,0,
1,6220486,10:34:32,11:35:29,01/01/2024,01/01/2024,1,4601,20103,1,0,
1,6220486,11:44:08,12:09:02,01/01/2024,01/01/2024,0,4601,20103,1,0,
1,6220486,11:44:08,12:09:02,01/01/2024,01/01/2024,0,4601,20103,2,8,
1,6220486,11:44:08,12:09:02,01/01/2024,01/01/2024,0,4601,20103,1,4,25.0
1,6220486,11:44:08,12:09:02,01/01/2024,01/01/2024,0,4601,20103,1,0,
1,6220511,12:11:16,12:38:53,01/01/2024,01/01/2024,0,4601,20103,1,0,
1,6220511,12:38:55,13:47:28,01/01/2024,01/01/2024,1,4601,20103,2,8,
1,6220511,12:38:55,13:47:28,01/01/2024,01/01/2024,1,4601,20103,1,4,
1,6220511,12:38:55,13:47:28,01/01/2024,01/01/2024,1,4601,20103,2,0,
1,6220511,12:38:55,13:47:28,01/01/2024,01/01/2024,1,4601,20103,2,8,5.0
1,6220511,13:47:31,14:41:33,01/01/2024,01/01/2024,0,4601,20103,6,24,
1,6220511,13:47:31,14:41:33,01/01/2024,01/01/2024,0,4601,20103,1,0,
1,6220511,13:47:31,14:41:33,01/01/2024,01/01/2024,0,4601,20103,1,0,
1,6220511,13:47:31,14:41:33,01/01/2024,01/01/2024,0,4601,20103,1,4,25.0
1,6220511,14:43:58,15:47:21,01/01/2024,01/01/2024,1,4601,20103,9,36,
1,6220511,14:43:58,15:47:21,01/01/2024,01/01/2024,1,4601,20103,1,0,
1,6220511,14:43:58,15:47:21,01/01/2024,01/01/2024,1,4601,20103,1,4,
1,6220511,14:43:58,15:47:21,01/01/2024,01/01/2024,1,4601,20103,8,34,
1,6220511,14:43:58,15:47:21,01/01/2024,01/01/2024,1,4601,20103,3,0,
1,6220511,15:52:42,16:49:43,01/01/2024,01/01/2024,0,4601,20103,3,12,75.0
1,6220511,15:52:42,16:49:43,01/01/2024,01/01/2024,0,4601,20103,7,0,
1,6220511,16:49:46,17:56:03,01/01/2024,01/01/2024,1,4601,20103,3,12,
1,6220511,16:49:46,17:56:03,01/01/2024,01/01/2024,1,4601,20103,1,0,
1,6220511,16:49:46,17:56:03,01/01/2024,01/01/2024,1,4601,20103,5,20,
1,6220511,16:49:46,17:56:03,01/01/2024,01/01/2024,1,4601,20103,3,12,75.0
1,6220511,16:49:46,17:56:03,01/01/2024,01/01/2024,1,4601,20103,1,0,
1,6220511,16:49:46,17:56:03,01/01/2024,01/01/2024,1,4601,20103,2,0,
1,6220511,17:56:06,18:58:04,01/01/2024,01/01/2024,0,4601,20103,3,0,
1,6220511,17:56:06,18:58:04,01/01/2024,01/01/2024,0,4601,20103,3,12,
1,6220511,17:56:06,18:58:04,01/01/2024,01/01/2024,0,4601,20103,1,4,25.0
1,6221008,05:49:36,06:33:16,01/01/2024,01/01/2024,1,7103,20106,3,12,
1,6221008,05:49:36,06:33:16,01/01/2024,01/01/2024,1,7103,20106,6,25,5.0
1,6221008,05:49:36,06:33:16,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221008,05:49:36,06:33:16,01/01/2024,01/01/2024,1,7103,20106,2,0,
1,6221008,05:49:36,06:33:16,01/01/2024,01/01/2024,1,7103,20106,1,4,25.0
1,6221008,05:49:36,06:33:16,01/01/2024,01/01/2024,1,7103,20106,2,0,
1,6221008,05:49:36,06:33:16,01/01/2024,01/01/2024,1,7103,20106,9,36,
1,6221008,06:36:45,07:16:44,01/01/2024,01/01/2024,0,7103,20106,4,17,
1,6221008,06:36:45,07:16:44,01/01/2024,01/01/2024,0,7103,20106,2,8,
1,6221008,06:36:45,07:16:44,01/01/2024,01/01/2024,0,7103,20106,6,24,
1,6221008,06:36:45,07:16:44,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221008,07:27:00,08:16:40,01/01/2024,01/01/2024,1,7103,20106,10,40,
1,6221008,07:27:00,08:16:40,01/01/2024,01/01/2024,1,7103,20106,5,21,25.0
1,6221008,07:27:00,08:16:40,01/01/2024,01/01/2024,1,7103,20106,7,0,
1,6221008,07:27:00,08:16:40,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221008,07:27:00,08:16:40,01/01/2024,01/01/2024,1,7103,20106,2,8,
1,6221008,07:27:00,08:16:40,01/01/2024,01/01/2024,1,7103,20106,3,0,
1,6221008,07:27:00,08:16:40,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221008,08:16:43,08:58:45,01/01/2024,01/01/2024,0,7103,20106,6,24,
1,6221008,08:16:43,08:58:45,01/01/2024,01/01/2024,0,7103,20106,8,34,
1,6221008,08:16:43,08:58:45,01/01/2024,01/01/2024,0,7103,20106,2,8,
1,6221008,08:16:43,08:58:45,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221008,08:16:43,08:58:45,01/01/2024,01/01/2024,0,7103,20106,2,0,
1,6221008,08:16:43,08:58:45,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221008,08:59:18,09:15:56,01/01/2024,01/01/2024,1,7103,20106,2,8,5.0
1,6221008,08:59:18,09:15:56,01/01/2024,01/01/2024,1,7103,20106,3,0,
1,6221008,08:59:18,09:15:56,01/01/2024,01/01/2024,1,7103,20106,4,16,
1,6221029,09:17:25,09:49:30,01/01/2024,01/01/2024,1,7103,20106,9,0,
1,6221029,09:17:25,09:49:30,01/01/2024,01/01/2024,1,7103,20106,5,21,25.0
1,6221029,09:57:47,10:51:01,01/01/2024,01/01/2024,0,7103,20106,6,0,
1,6221029,09:57:47,10:51:01,01/01/2024,01/01/2024,0,7103,20106,7,29,75.0
1,6221029,09:57:47,10:51:01,01/01/2024,01/01/2024,0,7103,20106,5,20,
1,6221029,09:57:47,10:51:01,01/01/2024,01/01/2024,0,7103,20106,2,8,
1,6221029,10:52:14,11:41:06,01/01/2024,01/01/2024,1,7103,20106,7,28,
1,6221029,10:52:14,11:41:06,01/01/2024,01/01/2024,1,7103,20106,4,17,
1,6221029,10:52:14,11:41:06,01/01/2024,01/01/2024,1,7103,20106,1,4,
1,6221029,10:52:14,11:41:06,01/01/2024,01/01/2024,1,7103,20106,2,0,
1,6221029,11:42:10,12:19:02,01/01/2024,01/01/2024,0,7103,20106,2,8,5.0
1,6221029,11:42:10,12:19:02,01/01/2024,01/01/2024,0,7103,20106,1,4,
1,6221029,11:42:10,12:19:02,01/01/2024,01/01/2024,0,7103,20106,3,0,
1,6221029,12:37:09,13:25:30,01/01/2024,01/01/2024,1,7103,20106,2,0,
1,6221029,12:37:09,13:25:30,01/01/2024,01/01/2024,1,7103,20106,3,12,75.0
1,6221029,12:37:09,13:25:30,01/01/2024,01/01/2024,1,7103,20106,5,20,
1,6221029,13:27:04,14:08:36,01/01/2024,01/01/2024,0,7103,20106,7,28,
1,6221029,13:27:04,14:08:36,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221029,13:27:04,14:08:36,01/01/2024,01/01/2024,0,7103,20106,4,17,
1,6221029,14:22:34,15:18:35,01/01/2024,01/01/2024,1,7103,20106,5,20,
1,6221029,14:22:34,15:18:35,01/01/2024,01/01/2024,1,7103,20106,1,4,
1,6221029,14:22:34,15:18:35,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221029,14:22:34,15:18:35,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221029,14:22:34,15:18:35,01/01/2024,01/01/2024,1,7103,20106,5,0,
1,6221029,14:22:34,15:18:35,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221029,14:22:34,15:18:35,01/01/2024,01/01/2024,1,7103,20106,4,17,
1,6221029,15:20:32,15:54:56,01/01/2024,01/01/2024,0,7103,20106,4,0,
1,6221029,15:20:32,15:54:56,01/01/2024,01/01/2024,0,7103,20106,8,34,
1,6221029,15:20:32,15:54:56,01/01/2024,01/01/2024,0,7103,20106,8,32,
1,6221029,15:20:32,15:54:56,01/01/2024,01/01/2024,0,7103,20106,1,4,
1,6221029,15:20:32,15:54:56,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221055,15:57:11,16:13:50,01/01/2024,01/01/2024,0,7103,20106,2,8,
1,6221055,16:13:54,17:04:45,01/01/2024,01/01/2024,1,7103,20106,4,16,
1,6221055,16:13:54,17:04:45,01/01/2024,01/01/2024,1,7103,20106,3,0,
1,6221055,16:13:54,17:04:45,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221055,16:13:54,17:04:45,01/01/2024,01/01/2024,1,7103,20106,6,25,5.0
1,6221055,16:13:54,17:04:45,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221055,17:20:23,18:10:55,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221055,17:20:23,18:10:55,01/01/2024,01/01/2024,0,7103,20106,6,0,
1,6221055,17:20:23,18:10:55,01/01/2024,01/01/2024,0,7103,20106,13,55,25.0
1,6221055,17:20:23,18:10:55,01/01/2024,01/01/2024,0,7103,20106,4,16,
1,6221055,17:20:23,18:10:55,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221055,17:20:23,18:10:55,01/01/2024,01/01/2024,0,7103,20106,3,12,
1,6221055,17:20:23,18:10:55,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221055,18:10:58,19:02:41,01/01/2024,01/01/2024,1,7103,20106,7,28,
1,6221055,18:10:58,19:02:41,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221055,18:10:58,19:02:41,01/01/2024,01/01/2024,1,7103,20106,4,16,
1,6221055,18:10:58,19:02:41,01/01/2024,01/01/2024,1,7103,20106,4,17,
1,6221055,19:06:37,19:54:26,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221055,19:06:37,19:54:26,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221055,19:06:37,19:54:26,01/01/2024,01/01/2024,0,7103,20106,3,12,
1,6221055,19:06:37,19:54:26,01/01/2024,01/01/2024,0,7103,20106,8,34,
1,6221055,19:54:29,20:40:09,01/01/2024,01/01/2024,1,7103,20106,3,12,
1,6221055,19:54:29,20:40:09,01/01/2024,01/01/2024,1,7103,20106,3,12,
1,6221055,19:54:29,20:40:09,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221055,19:54:29,20:40:09,01/01/2024,01/01/2024,1,7103,20106,2,8,5.0
1,6221055,19:54:29,20:40:09,01/01/2024,01/01/2024,1,7103,20106,1,0,
1,6221055,20:40:55,21:33:05,01/01/2024,01/01/2024,0,7103,20106,4,17,
1,6221055,20:40:55,21:33:05,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221055,20:40:55,21:33:05,01/01/2024,01/01/2024,0,7103,20106,1,0,
1,6221055,20:40:55,21:33:05,01/01/2024,01/01/2024,0,7103,20106,1,4,
1,6221055,21:33:08,22:15:53,01/01/2024,01/01/2024,1,7103,20106,1,4,
1,6221055,21:33:08,22:15:53,01/01/2024,01/01/2024,1,7103,20106,12,51,
1,6220879,06:56:46,07:53:47,01/01/2024,01/01/2024,0,4601,20107,2,8,
1,6220879,06:56:46,07:53:47,01/01/2024,01/01/2024,0,4601,20107,5,21,25.0
1,6220879,06:56:46,07:53:47,01/01/2024,01/01/2024,0,4601,20107,1,0,
1,6220879,07:53:49,08:59:09,01/01/2024,01/01/2024,1,4601,20107,4,0,
1,6220879,07:53:49,08:59:09,01/01/2024,01/01/2024,1,4601,20107,3,12,
1,6220879,07:53:49,08:59:09,01/01/2024,01/01/2024,1,4601,20107,2,0,
1,6220879,07:53:49,08:59:09,01/01/2024,01/01/2024,1,4601,20107,1,4,
1,6220879,07:53:49,08:59:09,01/01/2024,01/01/2024,1,4601,20107,5,21,25.0
1,6220879,08:59:12,09:21:47,01/01/2024,01/01/2024,0,4601,20107,2,8,
1,6220879,08:59:12,09:21:47,01/01/2024,01/01/2024,0,4601,20107,1,0,
1,6220896,09:24:18,09:54:32,01/01/2024,01/01/2024,1,4601,20107,1,0,
1,6220896,09:24:18,09:54:32,01/01/2024,01/01/2024,1,4601,20107,2,8,5.0
1,6220896,09:24:18,09:54:32,01/01/2024,01/01/2024,1,4601,20107,1,4,
1,6220896,09:24:18,09:54:32,01/01/2024,01/01/2024,1,4601,20107,1,0,
1,6220896,09:24:18,09:54:32,01/01/2024,01/01/2024,1,4601,20107,2,0,
1,6220896,09:54:35,10:51:13,01/01/2024,01/01/2024,0,4601,20107,4,16,
1,6220896,09:54:35,10:51:13,01/01/2024,01/01/2024,0,4601,20107,6,0,
1,6220896,09:54:35,10:51:13,01/01/2024,01/01/2024,0,4601,20107,1,4,25.0
1,6220896,09:54:35,10:51:13,01/01/2024,01/01/2024,0,4601,20107,1,4,
1,6220896,09:54:35,10:51:13,01/01/2024,01/01/2024,0,4601,20107,1,0,
1,6220896,11:03:56,12:01:26,01/01/2024,01/01/2024,1,4601,20107,1,4,
1,6220896,11:03:56,12:01:26,01/01/2024,01/01/2024,1,4601,20107,3,12,
1,6220896,11:03:56,12:01:26,01/01/2024,01/01/2024,1,4601,20107,6,25,5.0
1,6220896,11:03:56,12:01:26,01/01/2024,01/01/2024,1,4601,20107,1,0,
1,6220896,12:01:30,12:55:27,01/01/2024,01/01/2024,0,4601,20107,1,0,
1,6220896,12:01:30,12:55:27,01/01/2024,01/01/2024,0,4601,20107,2,8,5.0
1,6220896,12:01:30,12:55:27,01/01/2024,01/01/2024,0,4601,20107,3,12,
1,6220896,12:01:30,12:55:27,01/01/2024,01/01/2024,0,4601,20107,4,0,
1,6220896,13:09:06,14:04:00,01/01/2024,01/01/2024,1,4601,20107,2,8,
1,6220896,13:09:06,14:04:00,01/01/2024,01/01/2024,1,4601,20107,5,0,
1,6220896,13:09:06,14:04:00,01/01/2024,01/01/2024,1,4601,20107,3,12,75.0
1,6220896,13:09:06,14:04:00,01/01/2024,01/01/2024,1,4601,20107,5,20,
1,6220896,14:04:04,14:59:34,01/01/2024,01/01/2024,0,4601,20107,1,0,
1,6220896,14:04:04,14:59:34,01/01/2024,01/01/2024,0,4601,20107,2,8,
1,6220896,14:04:04,14:59:34,01/01/2024,01/01/2024,0,4601,20107,2,0,
1,6220896,14:04:04,14:59:34,01/01/2024,01/01/2024,0,4601,20107,1,4,25.0
1,6220896,14:04:04,14:59:34,01/01/2024,01/01/2024,0,4601,20107,3,12,
1,6220896,15:14:30,16:10:46,01/01/2024,01/01/2024,1,4601,20107,5,20,
1,6220896,15:14:30,16:10:46,01/01/2024,01/01/2024,1,4601,20107,3,0,
1,6220896,15:14:30,16:10:46,01/01/2024,01/01/2024,1,4601,20107,4,0,
1,6220896,15:14:30,16:10:46,01/01/2024,01/01/2024,1,4601,20107,4,17,
1,6220896,16:11:08,16:39:00,01/01/2024,01/01/2024,0,4601,20107,3,12,75.0
1,6220896,16:11:08,16:39:00,01/01/2024,01/01/2024,0,4601,20107,1,4,
1,6220896,16:11:08,16:39:00,01/01/2024,01/01/2024,0,4601,20107,2,8,
1,6220896,16:11:08,16:39:00,01/01/2024,01/01/2024,0,4601,20107,3,0,
1,6220923,16:41:17,17:16:21,01/01/2024,01/01/2024,1,4601,20107,1,4,25.0
1,6220923,16:41:17,17:16:21,01/01/2024,01/01/2024,1,4601,20107,2,8,
1,6220923,16:41:17,17:16:21,01/01/2024,01/01/2024,1,4601,20107,1,0,
1,6220923,17:19:07,18:25:05,01/01/2024,01/01/2024,0,4601,20107,3,12,
1,6220923,17:19:07,18:25:05,01/01/2024,01/01/2024,0,4601,20107,6,24,
1,6220923,17:19:07,18:25:05,01/01/2024,01/01/2024,0,4601,20107,5,21,25.0
1,6220923,17:19:07,18:25:05,01/01/2024,01/01/2024,0,4601,20107,1,0,
1,6220923,17:19:07,18:25:05,01/01/2024,01/01/2024,0,4601,20107,3,0,
1,6220923,18:29:18,19:39:55,01/01/2024,01/01/2024,1,4601,20107,2,0,
1,6220923,18:29:18,19:39:55,01/01/2024,01/01/2024,1,4601,20107,2,8,
1,6220923,18:29:18,19:39:55,01/01/2024,01/01/2024,1,4601,20107,1,0,
1,6220923,18:29:18,19:39:55,01/01/2024,01/01/2024,1,4601,20107,18,72,
1,6220923,18:29:18,19:39:55,01/01/2024,01/01/2024,1,4601,20107,6,25,5.0
1,6220923,18:29:18,19:39:55,01/01/2024,01/01/2024,1,4601,20107,7,0,
1,6220923,19:39:58,20:43:47,01/01/2024,01/01/2024,0,4601,20107,8,32,
1,6220923,19:39:58,20:43:47,01/01/2024,01/01/2024,0,4601,20107,3,0,
1,6220923,19:39:58,20:43:47,01/01/2024,01/01/2024,0,4601,20107,3,12,75.0
1,6220923,19:39:58,20:43:47,01/01/2024,01/01/2024,0,4601,20107,1,0,
1,6220923,19:39:58,20:43:47,01/01/2024,01/01/2024,0,4601,20107,1,0,
1,6220923,19:39:58,20:43:47,01/01/2024,01/01/2024,0,4601,20107,2,8,
1,6220923,20:43:50,21:35:02,01/01/2024,01/01/2024,1,4601,20107,2,8,
1,6220923,20:43:50,21:35:02,01/01/2024,01/01/2024,1,4601,20107,5,21,25.0
1,6220923,20:43:50,21:35:02,01/01/2024,01/01/2024,1,4601,20107,1,0,
1,6220923,21:35:06,22:26:58,01/01/2024,01/01/2024,0,4601,20107,2,8,
1,6220923,21:35:06,22:26:58,01/01/2024,01/01/2024,0,4601,20107,1,4,25.0
1,6220740,05:39:58,06:34:20,01/01/2024,01/01/2024,0,1702,20108,1,4,
1,6220740,05:39:58,06:34:20,01/01/2024,01/01/2024,0,1702,20108,2,0,
1,6220740,05:39:58,06:34:20,01/01/2024,01/01/2024,0,1702,20108,1,4,
1,6220740,05:39:58,06:34:20,01/01/2024,01/01/2024,0,1702,20108,5,21,25.0
1,6220740,06:34:23,07:21:19,01/01/2024,01/01/2024,1,1702,20108,9,36,
1,6220740,06:34:23,07:21:19,01/01/2024,01/01/2024,1,1702,20108,2,0,
1,6220740,06:34:23,07:21:19,01/01/2024,01/01/2024,1,1702,20108,2,0,
1,6220740,06:34:23,07:21:19,01/01/2024,01/01/2024,1,1702,20108,1,4,25.0
1,6220740,07:21:22,08:25:24,01/01/2024,01/01/2024,0,1702,20108,2,0,
1,6220740,07:21:22,08:25:24,01/01/2024,01/01/2024,0,1702,20108,6,25,5.0
